customer_id,square_customer_id,first_name,last_name,email,phone,date_of_birth,customer_type,preferred_eras,preferred_styles,preferred_sizes,total_orders,total_spent,average_order_value,first_purchase_date,last_purchase_date,acquisition_source
118,sq_cust_118,Kimberly,Reyes,krystalnorris@example.org,(150) 163-1599 x965,1989-12-02,collector,['1990s'],"['preppy', 'romantic']","['XL', 'size_8']",1,114.13,114.13,2024-01-18 00:00:00,2024-01-18 00:00:00,tiktok
119,sq_cust_119,Rachel,Hayes,michaelpugh@example.com,396 194 3114,1977-09-21,collector,"['1960s', '1980s']",['minimalist'],"['XL', 'M']",0,0.0,0.0,,,instagram
120,sq_cust_120,Rachel,Moore,gstewart@example.org,847-541-2126,1986-03-21,reseller,"['1990s', '1970s']","['grunge', 'preppy', 'disco']","['size_6', 'M']",0,0.0,0.0,,,word_of_mouth
121,sq_cust_121,Jose,Garcia,gomezchristopher@example.net,1 (960) 466-1839,1967-08-16,collector,"['Y2K', '1980s']",['band_tees'],"['M', 'L']",0,0.0,0.0,,,instagram
122,sq_cust_122,James,Taylor,joseph21@example.org,+1 (446) 471-5437,1981-06-17,casual_buyer,['1970s'],['disco'],['size_12'],1,204.97,204.97,2023-02-25 00:00:00,2023-02-25 00:00:00,word_of_mouth
123,sq_cust_123,Chad,Smith,ncook@example.com,1 (875) 692-4593,1974-07-25,collector,"['Y2K', '1970s']","['minimalist', 'grunge', 'romantic']",['size_14'],1,184.65,184.65,2023-09-30 00:00:00,2023-09-30 00:00:00,walk_by
124,sq_cust_124,Tracey,Novak,jessica79@example.org,1 (364) 651-9398,1992-03-15,collector,"['1970s', '1990s']","['disco', 'minimalist', 'band_tees']","['L', 'size_12']",0,0.0,0.0,,,instagram
125,sq_cust_125,Joshua,Benton,nhahn@example.com,1-716-724-3426,1963-01-12,reseller,['1980s'],"['romantic', 'punk', 'preppy']","['size_12', 'size_14']",1,481.29,481.29,2024-12-20 00:00:00,2024-12-20 00:00:00,tiktok
126,sq_cust_126,Wanda,Mendoza,sferguson@example.com,(705) 891-1352 x909,2005-11-21,casual_buyer,['1980s'],['romantic'],"['size_12', 'S']",2,707.02,353.51,2023-12-09 00:00:00,2024-12-06 00:00:00,word_of_mouth
127,sq_cust_127,Erin,Hogan,smithjonathan@example.net,(189) 937-5679 x825,1982-08-27,casual_buyer,['1980s'],"['preppy', 'minimalist']","['S', 'L']",2,791.44,395.72,2023-06-24 00:00:00,2024-12-22 00:00:00,walk_by
128,sq_cust_128,Edward,Knapp,wilsonshelia@example.org,1 (845) 738-7571,1994-02-19,casual_buyer,"['Y2K', '1980s']",['minimalist'],['size_6'],0,0.0,0.0,,,instagram
129,sq_cust_129,Jodi,Jones,patrickdarin@example.com,823.828.2586,1970-08-11,casual_buyer,"['1970s', 'Y2K']",['disco'],"['M', 'size_10']",0,0.0,0.0,,,tiktok
130,sq_cust_130,Jennifer,Lopez,vfoster@example.net,(279) 660-3341,1997-11-09,collector,['1970s'],"['minimalist', 'bohemian', 'preppy']",['XL'],1,119.55,119.55,2024-04-18 00:00:00,2024-04-18 00:00:00,instagram
131,sq_cust_131,Kimberly,Diaz,stephenbaker@example.com,(559) 696-9155 x792,2003-07-31,casual_buyer,"['1960s', 'Y2K']","['bohemian', 'band_tees']",['M'],0,0.0,0.0,,,instagram
132,sq_cust_132,Leslie,Powers,david41@example.org,1 (328) 669-2966,1982-11-04,casual_buyer,"['1970s', '1960s']","['band_tees', 'bohemian', 'disco']",['size_8'],2,648.06,324.03,2023-11-18 00:00:00,2024-04-19 00:00:00,walk_by
133,sq_cust_133,Kimberly,Ellison,angelaburns@example.org,757 905 0723,2005-09-29,reseller,"['1960s', '1980s']",['band_tees'],['S'],0,0.0,0.0,,,word_of_mouth
134,sq_cust_134,Kathy,Simpson,cperry@example.com,519 034 0438,1967-07-23,collector,"['Y2K', '1980s']","['preppy', 'minimalist', 'band_tees']","['size_10', 'M']",2,657.73,328.86,2024-05-12 00:00:00,2024-11-09 00:00:00,walk_by
135,sq_cust_135,Judith,Newton,hdunn@example.net,248.580.7836,1994-10-23,collector,['1960s'],['bohemian'],"['XL', 'size_12']",0,0.0,0.0,,,instagram
136,sq_cust_136,Matthew,Wright,colemichael@example.org,113-395-9629 x233,1986-11-05,casual_buyer,['1980s'],"['bohemian', 'minimalist']","['XL', 'S']",0,0.0,0.0,,,word_of_mouth
137,sq_cust_137,Kim,Carlson,mariopadilla@example.com,1-381-260-4223,1993-08-18,casual_buyer,"['1980s', '1970s']","['romantic', 'preppy']","['S', 'size_8']",3,467.16,155.72,2023-03-18 00:00:00,2023-05-24 00:00:00,instagram
138,sq_cust_138,Sandra,Juarez,kburns@example.net,1-866-711-6845,2005-02-03,casual_buyer,"['1960s', 'Y2K']","['disco', 'preppy']","['size_14', 'size_8']",0,0.0,0.0,,,instagram
139,sq_cust_139,Erin,Smith,simonstephen@example.net,1 (518) 636-3745,1975-09-11,collector,"['Y2K', '1990s']","['bohemian', 'romantic']","['size_6', 'size_12']",1,35.08,35.08,2023-03-08 00:00:00,2023-03-08 00:00:00,walk_by
140,sq_cust_140,Laura,Knight,rkramer@example.org,417-012-7706,2007-04-11,collector,"['1960s', '1970s']",['punk'],"['size_6', 'size_8']",1,692.2,692.2,2024-03-09 00:00:00,2024-03-09 00:00:00,walk_by
141,sq_cust_141,Susan,Khan,erik41@example.net,1 (241) 520-6436,1993-04-05,casual_buyer,"['1980s', '1990s']",['preppy'],"['size_8', 'size_6']",0,0.0,0.0,,,word_of_mouth
142,sq_cust_142,April,Woods,brittneystone@example.com,205-162-7136,1994-07-23,collector,['1990s'],"['minimalist', 'disco', 'bohemian']","['XL', 'size_10']",1,168.06,168.06,2024-01-13 00:00:00,2024-01-13 00:00:00,instagram
143,sq_cust_143,Ashley,Edwards,derrick22@example.org,(290) 927-5326 x973,2002-07-09,casual_buyer,['1960s'],"['preppy', 'band_tees']","['S', 'size_6']",1,128.67,128.67,2024-06-26 00:00:00,2024-06-26 00:00:00,word_of_mouth
144,sq_cust_144,Brenda,Martinez,bbell@example.com,134 138 9994,2000-03-07,casual_buyer,"['1970s', 'Y2K']","['punk', 'bohemian']",['M'],2,1121.6,560.8,2023-03-21 00:00:00,2023-07-14 00:00:00,instagram
145,sq_cust_145,Mary,Turner,juliephillips@example.org,(676) 137-9180,2004-04-23,casual_buyer,"['1990s', '1970s']","['grunge', 'bohemian', 'preppy']","['size_10', 'size_12']",0,0.0,0.0,,,tiktok
146,sq_cust_146,Bonnie,Valencia,rdiaz@example.org,910-910-4300 x684,1996-04-20,collector,"['1960s', '1990s']","['band_tees', 'grunge']",['M'],2,1025.97,512.98,2023-02-15 00:00:00,2023-09-15 00:00:00,tiktok
147,sq_cust_147,Jeff,Morales,joshuacollins@example.net,(128) 569-1463,1971-03-21,casual_buyer,['1980s'],['preppy'],"['L', 'size_6']",1,267.63,267.63,2023-10-08 00:00:00,2023-10-08 00:00:00,walk_by
148,sq_cust_148,Tammy,Wilson,parkerjudith@example.net,510 202 7588,1967-07-01,casual_buyer,"['1970s', '1980s']",['disco'],['size_12'],1,379.36,379.36,2024-01-15 00:00:00,2024-01-15 00:00:00,word_of_mouth
149,sq_cust_149,Beth,Norman,jessica10@example.com,+1 (648) 149-1778,1962-02-21,collector,"['Y2K', '1960s']",['grunge'],['size_14'],0,0.0,0.0,,,instagram
150,sq_cust_150,Shannon,Jackson,jonathangarcia@example.net,738.000.3075,2003-08-27,casual_buyer,['1990s'],"['disco', 'band_tees', 'preppy']","['L', 'size_8']",2,243.15,121.57,2024-01-27 00:00:00,2024-12-05 00:00:00,instagram
